nSeq;I1; I2; O1; O2;A1;A2;A3;A4;A5;A6
0;0;0;0;0;503;511;0;509;38;12
1;0;0;0;0;506;511;0;508;38;12
2;0;0;0;0;505;511;0;508;38;12
3;0;0;0;0;506;512;0;509;38;12
4;0;0;0;0;502;511;0;507;38;12
5;0;0;0;0;500;510;0;506;38;12
6;0;0;0;0;499;510;0;508;38;12
7;0;0;0;0;502;511;0;509;38;12
8;0;0;0;0;511;511;0;512;38;12
9;0;0;0;0;518;511;0;511;38;12
10;0;0;0;0;515;511;0;513;38;12
11;0;0;0;0;510;511;0;512;38;12
12;0;0;0;0;505;510;0;508;38;12
13;0;0;0;0;510;510;0;506;38;12
14;0;0;0;0;515;511;0;504;38;12
15;0;0;0;0;510;512;0;505;38;12
0;0;0;0;0;509;512;0;505;38;12
1;0;0;0;0;509;510;0;507;38;12
2;0;0;0;0;512;510;0;508;38;12
3;0;0;0;0;512;510;0;510;38;12
4;0;0;0;0;506;509;0;521;38;12
5;0;0;0;0;503;509;0;512;38;12
6;0;0;0;0;513;510;0;512;38;12
7;0;0;0;0;519;511;0;515;38;12
8;0;0;0;0;501;511;0;515;38;12
9;0;0;0;0;492;512;0;513;38;12
10;0;0;0;0;497;513;0;514;38;12
11;0;0;0;0;504;513;0;514;38;12
12;0;0;0;0;509;511;0;515;38;12
13;0;0;0;0;513;511;0;515;38;12
14;0;0;0;0;507;513;0;514;38;12
15;0;0;0;0;509;513;0;515;38;12
0;0;0;0;0;513;513;0;517;38;12
1;0;0;0;0;512;514;0;517;38;12
2;0;0;0;0;514;515;0;516;38;12
3;0;0;0;0;508;515;0;517;38;12
4;0;0;0;0;503;514;0;516;38;12
5;0;0;0;0;499;513;0;515;38;12
6;0;0;0;0;500;511;0;513;38;12
7;0;0;0;0;501;511;0;514;38;12
8;0;0;0;0;507;512;0;514;38;12
9;0;0;0;0;512;511;0;513;38;12
10;0;0;0;0;513;510;0;513;38;12
11;0;0;0;0;513;511;0;514;38;12
12;0;0;0;0;505;512;0;513;38;12
13;0;0;0;0;504;511;0;514;38;12
14;0;0;0;0;504;511;0;515;38;12
15;0;0;0;0;505;510;0;514;38;12
0;0;0;0;0;507;511;0;512;38;12
1;0;0;0;0;498;511;0;509;38;12
2;0;0;0;0;507;510;0;511;38;12
3;0;0;0;0;507;510;0;510;38;12
4;0;0;0;0;506;509;0;511;38;12
5;0;0;0;0;510;509;0;511;38;12
6;0;0;0;0;501;509;0;511;38;12
7;0;0;0;0;508;510;0;511;38;12
8;0;0;0;0;504;511;0;513;38;12
9;0;0;0;0;504;510;0;513;38;12
10;0;0;0;0;514;509;0;513;38;12
11;0;0;0;0;516;509;0;513;38;12
12;0;0;0;0;512;508;0;510;38;12
13;0;0;0;0;513;508;0;508;38;12
14;0;0;0;0;516;510;0;507;38;12
15;0;0;0;0;512;510;0;509;38;12
0;0;0;0;0;505;510;0;507;38;12
1;0;0;0;0;503;509;0;507;38;12
2;0;0;0;0;504;510;0;508;38;12
3;0;0;0;0;506;509;0;509;38;12
4;0;0;0;0;506;508;0;520;38;12
5;0;0;0;0;505;510;0;509;38;12
6;0;0;0;0;507;510;0;513;38;12
7;0;0;0;0;509;511;0;514;38;12
8;0;0;0;0;507;510;0;515;38;12
9;0;0;0;0;505;511;0;516;38;12
10;0;0;0;0;508;511;0;514;38;12
11;0;0;0;0;506;510;0;515;38;12
12;0;0;0;0;505;509;0;512;38;12
13;0;0;0;0;497;508;0;511;38;12
14;0;0;0;0;501;508;0;512;38;12
15;0;0;0;0;504;509;0;510;38;12
0;0;0;0;0;509;510;0;509;38;12
1;0;0;0;0;520;510;0;509;38;12
2;0;0;0;0;519;510;0;508;38;12
3;0;0;0;0;515;509;0;509;38;12
4;0;0;0;0;510;509;0;508;38;12
5;0;0;0;0;504;510;0;509;38;12
6;0;0;0;0;507;508;0;510;38;12
7;0;0;0;0;507;508;0;511;38;12
8;0;0;0;0;507;508;0;511;38;12
9;0;0;0;0;504;507;0;511;38;12
10;0;0;0;0;504;508;0;511;38;12
11;0;0;0;0;501;509;0;512;38;12
12;0;0;0;0;501;509;0;513;38;12
13;0;0;0;0;505;510;0;512;38;12
14;0;0;0;0;505;509;0;512;38;12
15;0;0;0;0;505;509;0;512;38;12
0;0;0;0;0;514;509;0;511;38;12
1;0;0;0;0;518;511;0;509;38;12
2;0;0;0;0;518;512;0;509;38;12
3;0;0;0;0;509;512;0;510;38;12
4;0;0;0;0;506;512;0;511;38;12
5;0;0;0;0;508;512;0;510;38;12
6;0;0;0;0;513;511;0;513;38;12
7;0;0;0;0;509;510;0;513;38;12
8;0;0;0;0;505;511;0;510;38;12
9;0;0;0;0;504;510;0;511;38;12
10;0;0;0;0;507;511;0;511;38;12
11;0;0;0;0;506;511;0;524;38;12
12;0;0;0;0;505;512;0;512;38;12
13;0;0;0;0;507;511;0;510;38;12
14;0;0;0;0;508;512;0;512;38;12
15;0;0;0;0;511;513;0;511;38;12
0;0;0;0;0;509;512;0;509;38;12
1;0;0;0;0;505;512;0;508;38;12
2;0;0;0;0;503;512;0;507;38;12
3;0;0;0;0;498;514;0;508;38;12
4;0;0;0;0;499;513;0;508;38;12
5;0;0;0;0;505;511;0;505;38;12
6;0;0;0;0;506;510;0;506;38;12
7;0;0;0;0;505;510;0;506;38;12
8;0;0;0;0;510;510;0;502;38;12
9;0;0;0;0;516;512;0;501;38;12
10;0;0;0;0;521;513;0;503;38;12
11;0;0;0;0;512;513;0;505;38;12
12;0;0;0;0;500;512;0;506;38;12
13;0;0;0;0;499;512;0;507;38;12
14;0;0;0;0;498;512;0;508;38;12
15;0;0;0;0;502;512;0;508;38;12
0;0;0;0;0;504;514;0;511;38;12
1;0;0;0;0;509;513;0;508;38;12
2;0;0;0;0;519;513;0;509;38;12
3;0;0;0;0;519;514;0;510;38;12
4;0;0;0;0;515;513;0;509;38;12
5;0;0;0;0;513;513;0;511;38;12
6;0;0;0;0;509;512;0;517;38;12
7;0;0;0;0;510;512;0;516;38;12
8;0;0;0;0;506;511;0;514;38;12
9;0;0;0;0;504;510;0;512;38;12
10;0;0;0;0;503;511;0;511;38;12
11;0;0;0;0;506;511;0;510;38;12
12;0;0;0;0;507;511;0;509;38;12
13;0;0;0;0;505;510;0;509;38;12
14;0;0;0;0;505;510;0;511;38;12
15;0;0;0;0;506;511;0;511;38;12
0;0;0;0;0;506;512;0;509;38;12
1;0;0;0;0;506;512;0;507;38;12
2;0;0;0;0;504;513;0;508;38;12
3;0;0;0;0;506;514;0;509;38;12
4;0;0;0;0;506;513;0;508;38;12
5;0;0;0;0;508;512;0;507;38;12
6;0;0;0;0;506;511;0;508;38;12
7;0;0;0;0;502;511;0;510;38;12
8;0;0;0;0;505;510;0;511;38;12
9;0;0;0;0;510;509;0;511;38;12
10;0;0;0;0;515;510;0;512;38;12
11;0;0;0;0;518;510;0;511;38;12
12;0;0;0;0;512;509;0;512;38;12
13;0;0;0;0;502;510;0;512;38;12
14;0;0;0;0;495;510;0;528;38;12
15;0;0;0;0;502;510;0;511;38;12
0;0;0;0;0;508;509;0;517;38;12
1;0;0;0;0;506;510;0;510;38;12
2;0;0;0;0;507;510;0;510;38;12
3;0;0;0;0;503;511;0;512;38;12
4;0;0;0;0;502;512;0;510;38;12
5;0;0;0;0;500;512;0;514;38;12
6;0;0;0;0;501;511;0;533;38;12
7;0;0;0;0;508;511;0;516;38;12
8;0;0;0;0;519;511;0;515;38;12
9;0;0;0;0;524;512;0;514;38;12
10;0;0;0;0;515;511;0;514;38;12
11;0;0;0;0;508;512;0;513;38;12
12;0;0;0;0;507;511;0;512;38;12
13;0;0;0;0;506;511;0;511;38;12
14;0;0;0;0;506;510;0;512;38;12
15;0;0;0;0;510;512;0;512;38;12
0;0;0;0;0;509;512;0;512;38;12
1;0;0;0;0;509;512;0;513;38;12
2;0;0;0;0;504;512;0;513;38;12
3;0;0;0;0;507;513;0;514;38;12
4;0;0;0;0;506;512;0;513;38;12
5;0;0;0;0;506;511;0;512;38;12
6;0;0;0;0;507;509;0;512;38;12
7;0;0;0;0;507;509;0;512;38;12
8;0;0;0;0;507;509;0;513;38;12
9;0;0;0;0;505;509;0;511;38;12
10;0;0;0;0;503;510;0;512;38;12
11;0;0;0;0;508;509;0;513;38;12
12;0;0;0;0;506;509;0;510;38;12
13;0;0;0;0;504;511;0;510;38;12
14;0;0;0;0;504;512;0;508;38;12
15;0;0;0;0;508;513;0;508;38;12
0;0;0;0;0;510;511;0;508;38;12
1;0;0;0;0;511;511;0;507;38;12
2;0;0;0;0;511;510;0;510;38;12
3;0;0;0;0;513;510;0;512;38;12
4;0;0;0;0;511;509;0;512;38;12
5;0;0;0;0;510;508;0;512;38;12
6;0;0;0;0;506;508;0;510;38;12
7;0;0;0;0;505;508;0;512;38;12
8;0;0;0;0;504;509;0;512;38;12
9;0;0;0;0;504;508;0;512;38;12
10;0;0;0;0;506;509;0;512;38;12
11;0;0;0;0;506;509;0;513;38;12
12;0;0;0;0;505;508;0;513;38;12
13;0;0;0;0;505;508;0;516;38;12
14;0;0;0;0;508;508;0;517;38;12
15;0;0;0;0;507;509;0;519;38;12
0;0;0;0;0;510;510;0;516;38;12
1;0;0;0;0;508;511;0;516;38;12
2;0;0;0;0;507;511;0;515;38;12
3;0;0;0;0;505;511;0;514;38;12
4;0;0;0;0;505;508;0;512;38;12
5;0;0;0;0;509;509;0;527;38;12
6;0;0;0;0;505;509;0;510;38;12
7;0;0;0;0;510;509;0;510;38;12
8;0;0;0;0;512;509;0;508;38;12
9;0;0;0;0;509;508;0;510;38;12
10;0;0;0;0;507;510;0;512;38;12
11;0;0;0;0;506;510;0;513;38;12
12;0;0;0;0;507;511;0;513;38;12
13;0;0;0;0;507;510;0;515;38;12
14;0;0;0;0;505;512;0;515;38;12
15;0;0;0;0;506;514;0;514;38;12
0;0;0;0;0;507;515;0;513;38;12
1;0;0;0;0;503;513;0;513;38;12
2;0;0;0;0;505;513;0;512;38;12
3;0;0;0;0;507;515;0;512;38;12
4;0;0;0;0;508;513;0;511;38;12
5;0;0;0;0;508;512;0;510;38;12
6;0;0;0;0;509;512;0;509;38;12
7;0;0;0;0;508;511;0;511;38;12
8;0;0;0;0;508;509;0;512;38;12
9;0;0;0;0;507;510;0;512;38;12
10;0;0;0;0;506;510;0;511;38;12
11;0;0;0;0;508;511;0;513;38;12
12;0;0;0;0;508;510;0;511;38;12
13;0;0;0;0;508;509;0;511;38;12
14;0;0;0;0;504;509;0;511;38;12
15;0;0;0;0;509;509;0;512;38;12
0;0;0;0;0;508;508;0;512;38;12
1;0;0;0;0;508;508;0;513;38;12
2;0;0;0;0;508;507;0;515;38;12
3;0;0;0;0;509;509;0;515;38;12
4;0;0;0;0;508;508;0;514;38;12
5;0;0;0;0;504;509;0;513;38;12
6;0;0;0;0;504;510;0;510;38;12
7;0;0;0;0;504;511;0;508;38;12
8;0;0;0;0;506;513;0;508;38;12
9;0;0;0;0;506;512;0;509;38;12
10;0;0;0;0;508;513;0;509;38;12
11;0;0;0;0;511;513;0;513;38;12
12;0;0;0;0;508;512;0;513;38;12
13;0;0;0;0;508;512;0;513;38;12
14;0;0;0;0;507;512;0;513;38;12
15;0;0;0;0;509;514;0;513;38;12
0;0;0;0;0;510;513;0;512;38;12
1;0;0;0;0;504;511;0;510;38;12
2;0;0;0;0;504;510;0;509;38;12
3;0;0;0;0;509;511;0;510;38;12
4;0;0;0;0;508;510;0;518;38;12
5;0;0;0;0;506;510;0;510;38;12
6;0;0;0;0;510;511;0;511;38;12
7;0;0;0;0;508;510;0;511;38;12
8;0;0;0;0;506;511;0;510;38;12
9;0;0;0;0;503;512;0;510;38;12
10;0;0;0;0;505;513;0;509;38;12
11;0;0;0;0;506;512;0;511;38;12
12;0;0;0;0;507;510;0;508;38;12
13;0;0;0;0;509;511;0;507;38;12
14;0;0;0;0;510;512;0;523;38;12
15;0;0;0;0;510;513;0;509;38;12
0;0;0;0;0;516;513;0;509;38;12
1;0;0;0;0;508;513;0;510;38;12
2;0;0;0;0;506;515;0;512;38;12
3;0;0;0;0;506;513;0;512;38;12
4;0;0;0;0;501;513;0;514;38;12
5;0;0;0;0;506;510;0;512;38;12
6;0;0;0;0;508;508;0;514;38;12
7;0;0;0;0;505;508;0;513;38;12
8;0;0;0;0;508;508;0;508;38;12
9;0;0;0;0;507;508;0;508;38;12
10;0;0;0;0;511;508;0;508;38;12
11;0;0;0;0;519;511;0;507;38;12
12;0;0;0;0;507;510;0;508;38;12
13;0;0;0;0;498;512;0;509;38;12
14;0;0;0;0;508;511;0;510;38;12
15;0;0;0;0;508;512;0;511;38;12
0;0;0;0;0;507;509;0;509;38;12
1;0;0;0;0;504;509;0;508;38;12
2;0;0;0;0;501;509;0;509;38;12
3;0;0;0;0;513;510;0;509;38;12
4;0;0;0;0;509;510;0;510;38;12
5;0;0;0;0;503;509;0;509;38;12
6;0;0;0;0;506;510;0;509;38;12
7;0;0;0;0;508;511;0;514;38;12
8;0;0;0;0;510;512;0;510;38;12
9;0;0;0;0;511;511;0;511;38;12
10;0;0;0;0;511;509;0;514;38;12
11;0;0;0;0;508;509;0;513;38;12
12;0;0;0;0;506;509;0;511;38;12
13;0;0;0;0;508;507;0;513;38;12
14;0;0;0;0;507;508;0;511;38;12
15;0;0;0;0;507;508;0;511;38;12
0;0;0;0;0;506;508;0;511;38;12
1;0;0;0;0;505;507;0;511;38;12
2;0;0;0;0;504;509;0;511;38;12
3;0;0;0;0;507;509;0;513;38;12
4;0;0;0;0;507;510;0;513;38;12
5;0;0;0;0;508;511;0;512;38;12
6;0;0;0;0;507;511;0;510;38;12
7;0;0;0;0;508;510;0;509;38;12
8;0;0;0;0;507;508;0;508;38;12
9;0;0;0;0;509;509;0;507;38;12
10;0;0;0;0;508;509;0;508;38;12
11;0;0;0;0;509;512;0;509;38;12
12;0;0;0;0;508;511;0;509;38;12
13;0;0;0;0;507;511;0;508;38;12
14;0;0;0;0;508;513;0;509;38;12
15;0;0;0;0;505;512;0;509;38;12
0;0;0;0;0;507;512;0;508;38;12
1;0;0;0;0;505;511;0;508;38;12
2;0;0;0;0;508;512;0;525;38;12
3;0;0;0;0;508;513;0;508;38;12
4;0;0;0;0;507;511;0;508;38;12
5;0;0;0;0;508;511;0;521;38;12
6;0;0;0;0;508;511;0;502;38;12
7;0;0;0;0;510;511;0;501;38;12
8;0;0;0;0;506;509;0;502;38;12
9;0;0;0;0;507;510;0;502;38;12
10;0;0;0;0;507;512;0;505;38;12
11;0;0;0;0;507;513;0;505;38;12
12;0;0;0;0;508;512;0;504;38;12
13;0;0;0;0;507;513;0;506;38;12
14;0;0;0;0;505;515;0;507;38;12
15;0;0;0;0;506;515;0;507;38;12
0;0;0;0;0;511;515;0;509;38;12
1;0;0;0;0;509;513;0;510;38;12
2;0;0;0;0;509;514;0;511;38;12
3;0;0;0;0;507;513;0;513;38;12
4;0;0;0;0;504;511;0;509;38;12
5;0;0;0;0;501;510;0;507;38;12
6;0;0;0;0;503;511;0;508;38;12
7;0;0;0;0;501;513;0;509;38;12
8;0;0;0;0;507;511;0;509;38;12
9;0;0;0;0;510;510;0;510;38;12
10;0;0;0;0;513;510;0;509;38;12
11;0;0;0;0;518;510;0;510;38;12
12;0;0;0;0;514;509;0;513;38;12
13;0;0;0;0;509;509;0;508;38;12
14;0;0;0;0;508;510;0;509;38;12
15;0;0;0;0;506;511;0;509;38;12
0;0;0;0;0;505;513;0;506;38;12
1;0;0;0;0;503;515;0;504;38;12
2;0;0;0;0;504;514;0;505;38;12
3;0;0;0;0;506;514;0;508;38;12
4;0;0;0;0;506;512;0;511;38;12
5;0;0;0;0;509;512;0;510;38;12
6;0;0;0;0;508;511;0;512;38;12
7;0;0;0;0;508;510;0;512;38;12
8;0;0;0;0;506;509;0;512;38;12
9;0;0;0;0;507;511;0;511;38;12
10;0;0;0;0;508;512;0;510;38;12
11;0;0;0;0;507;511;0;510;38;12
12;0;0;0;0;508;510;0;510;38;12
13;0;0;0;0;506;510;0;508;38;12
14;0;0;0;0;507;511;0;507;38;12
15;0;0;0;0;506;511;0;509;38;12
0;0;0;0;0;506;510;0;508;38;12
1;0;0;0;0;506;509;0;510;38;12
2;0;0;0;0;504;510;0;511;38;12
3;0;0;0;0;508;510;0;514;38;12
4;0;0;0;0;508;512;0;513;38;12
5;0;0;0;0;504;513;0;514;38;12
6;0;0;0;0;507;513;0;515;38;12
7;0;0;0;0;506;512;0;515;38;12
8;0;0;0;0;505;512;0;514;38;12
9;0;0;0;0;506;512;0;512;38;12
10;0;0;0;0;505;511;0;515;38;12
11;0;0;0;0;507;511;0;513;38;12
12;0;0;0;0;509;510;0;513;38;12
13;0;0;0;0;508;510;0;510;38;12
14;0;0;0;0;511;509;0;512;38;12
15;0;0;0;0;516;509;0;512;38;12
0;0;0;0;0;526;510;0;512;38;12
1;0;0;0;0;522;509;0;513;38;12
2;0;0;0;0;508;510;0;514;38;12
3;0;0;0;0;504;510;0;514;38;12
4;0;0;0;0;501;511;0;514;38;12
5;0;0;0;0;501;510;0;515;38;12
6;0;0;0;0;505;511;0;514;38;12
7;0;0;0;0;502;513;0;512;38;12
8;0;0;0;0;504;514;0;510;38;12
9;0;0;0;0;511;513;0;509;38;12
10;0;0;0;0;509;513;0;508;38;12
11;0;0;0;0;505;512;0;509;38;12
12;0;0;0;0;505;511;0;509;38;12
13;0;0;0;0;499;509;0;510;38;12
14;0;0;0;0;510;510;0;512;38;12
15;0;0;0;0;511;510;0;514;38;12
0;0;0;0;0;509;510;0;513;38;12
1;0;0;0;0;507;509;0;512;38;12
2;0;0;0;0;508;508;0;512;38;12
3;0;0;0;0;510;510;0;514;38;12
4;0;0;0;0;509;510;0;513;38;12
5;0;0;0;0;507;508;0;514;38;12
6;0;0;0;0;506;508;0;515;38;12
7;0;0;0;0;505;509;0;515;38;12
8;0;0;0;0;507;508;0;515;38;12
9;0;0;0;0;508;507;0;514;38;12
10;0;0;0;0;508;508;0;515;38;12
11;0;0;0;0;506;511;0;515;38;12
12;0;0;0;0;507;510;0;514;38;12
13;0;0;0;0;508;509;0;513;38;12
14;0;0;0;0;508;512;0;512;38;12
15;0;0;0;0;507;513;0;512;38;12
0;0;0;0;0;508;512;0;509;38;12
1;0;0;0;0;507;511;0;508;38;12
2;0;0;0;0;499;512;0;507;38;12
3;0;0;0;0;504;510;0;508;38;12
4;0;0;0;0;506;510;0;507;38;12
5;0;0;0;0;508;510;0;508;38;12
6;0;0;0;0;514;511;0;509;38;12
7;0;0;0;0;512;511;0;509;38;12
8;0;0;0;0;515;509;0;509;38;12
9;0;0;0;0;507;510;0;508;38;12
10;0;0;0;0;500;509;0;507;38;12
11;0;0;0;0;504;510;0;507;38;12
12;0;0;0;0;512;511;0;507;38;12
13;0;0;0;0;511;511;0;505;38;12
14;0;0;0;0;506;512;0;505;38;12
15;0;0;0;0;502;512;0;507;38;12
0;0;0;0;0;506;510;0;508;38;12
1;0;0;0;0;510;511;0;511;38;12
2;0;0;0;0;509;512;0;511;38;12
3;0;0;0;0;507;511;0;514;38;12
4;0;0;0;0;505;510;0;514;38;12
5;0;0;0;0;505;509;0;515;38;12
6;0;0;0;0;503;509;0;519;38;12
7;0;0;0;0;505;512;0;520;38;12
8;0;0;0;0;505;514;0;520;38;12
9;0;0;0;0;507;513;0;519;38;12
10;0;0;0;0;505;513;0;518;38;12
11;0;0;0;0;504;512;0;518;38;12
12;0;0;0;0;505;512;0;516;38;12
13;0;0;0;0;508;510;0;515;38;12
14;0;0;0;0;513;512;0;515;38;12
15;0;0;0;0;510;515;0;515;38;12
0;0;0;0;0;508;514;0;514;38;12
1;0;0;0;0;508;512;0;512;38;12
2;0;0;0;0;507;511;0;511;38;12
3;0;0;0;0;505;511;0;510;38;12
4;0;0;0;0;504;511;0;508;38;12
5;0;0;0;0;508;509;0;509;38;12
6;0;0;0;0;504;509;0;510;38;12
7;0;0;0;0;505;509;0;511;38;12
8;0;0;0;0;507;509;0;511;38;12
9;0;0;0;0;511;509;0;510;38;12
10;0;0;0;0;508;511;0;512;38;12
11;0;0;0;0;503;511;0;519;38;12
12;0;0;0;0;504;509;0;509;38;12
13;0;0;0;0;506;508;0;507;38;12
14;0;0;0;0;515;508;0;509;38;12
15;0;0;0;0;516;509;0;509;38;12
0;0;0;0;0;508;509;0;510;38;12
1;0;0;0;0;508;510;0;511;38;12
2;0;0;0;0;508;509;0;511;38;12
3;0;0;0;0;505;509;0;514;38;12
4;0;0;0;0;507;512;0;513;38;12
5;0;0;0;0;505;511;0;512;38;12
6;0;0;0;0;504;510;0;511;38;12
7;0;0;0;0;503;510;0;511;38;12
8;0;0;0;0;507;511;0;525;38;12
9;0;0;0;0;501;509;0;508;38;12
10;0;0;0;0;495;508;0;507;38;12
11;0;0;0;0;502;511;0;508;38;12
12;0;0;0;0;510;510;0;509;38;12
13;0;0;0;0;504;510;0;510;38;12
14;0;0;0;0;504;511;0;512;38;12
15;0;0;0;0;503;510;0;513;38;12
0;0;0;0;0;519;510;0;511;38;12
1;0;0;0;0;537;510;0;510;38;12
2;0;0;0;0;513;512;0;510;38;12
3;0;0;0;0;504;511;0;510;38;12
4;0;0;0;0;511;511;0;511;38;12
5;0;0;0;0;507;511;0;511;38;12
6;0;0;0;0;508;512;0;513;38;12
7;0;0;0;0;513;512;0;511;38;12
8;0;0;0;0;514;512;0;511;38;12
9;0;0;0;0;509;513;0;513;38;12
10;0;0;0;0;504;513;0;507;38;12
11;0;0;0;0;502;514;0;507;38;12
12;0;0;0;0;507;512;0;505;38;12
13;0;0;0;0;510;510;0;505;38;12
14;0;0;0;0;514;509;0;505;38;12
15;0;0;0;0;508;510;0;505;38;12
0;0;0;0;0;505;510;0;504;38;12
1;0;0;0;0;504;509;0;506;38;12
2;0;0;0;0;491;509;0;506;38;12
3;0;0;0;0;495;509;0;507;38;12
4;0;0;0;0;501;509;0;507;38;12
5;0;0;0;0;508;509;0;508;38;12
6;0;0;0;0;517;509;0;509;38;12
7;0;0;0;0;524;510;0;512;38;12
8;0;0;0;0;517;508;0;510;38;12
9;0;0;0;0;508;507;0;513;38;12
10;0;0;0;0;497;509;0;518;38;12
11;0;0;0;0;499;511;0;519;38;12
12;0;0;0;0;508;512;0;518;38;12
13;0;0;0;0;513;512;0;516;38;12
14;0;0;0;0;513;511;0;514;38;12
15;0;0;0;0;513;513;0;513;38;12
0;0;0;0;0;508;511;0;509;38;12
1;0;0;0;0;504;510;0;508;38;12
2;0;0;0;0;507;508;0;521;38;12
3;0;0;0;0;505;509;0;508;38;12
4;0;0;0;0;503;508;0;507;38;12
5;0;0;0;0;505;508;0;509;38;12
6;0;0;0;0;508;508;0;510;38;12
7;0;0;0;0;509;509;0;512;38;12
8;0;0;0;0;505;508;0;510;38;12
9;0;0;0;0;506;510;0;509;38;12
10;0;0;0;0;508;511;0;508;38;12
11;0;0;0;0;507;514;0;508;38;12
12;0;0;0;0;509;513;0;507;38;12
13;0;0;0;0;503;512;0;508;38;12
14;0;0;0;0;505;511;0;511;38;12
15;0;0;0;0;507;511;0;513;38;12
0;0;0;0;0;505;510;0;513;38;12
1;0;0;0;0;508;510;0;514;38;12
2;0;0;0;0;511;509;0;513;38;12
3;0;0;0;0;510;511;0;515;38;12
4;0;0;0;0;508;510;0;513;38;12
5;0;0;0;0;508;512;0;508;38;12
6;0;0;0;0;505;513;0;508;38;12
7;0;0;0;0;509;513;0;507;38;12
8;0;0;0;0;508;512;0;508;38;12
9;0;0;0;0;508;511;0;510;38;12
10;0;0;0;0;509;511;0;510;38;12
11;0;0;0;0;506;510;0;510;38;12
12;0;0;0;0;508;511;0;510;38;12
13;0;0;0;0;504;511;0;507;38;12
14;0;0;0;0;508;513;0;509;38;12
15;0;0;0;0;509;513;0;508;38;12
0;0;0;0;0;507;513;0;508;38;12
1;0;0;0;0;506;513;0;510;38;12
2;0;0;0;0;507;513;0;510;38;12
3;0;0;0;0;507;511;0;510;38;12
4;0;0;0;0;506;512;0;510;38;12
5;0;0;0;0;506;511;0;510;38;12
6;0;0;0;0;507;509;0;512;38;12
7;0;0;0;0;506;510;0;511;38;12
8;0;0;0;0;506;509;0;511;38;12
9;0;0;0;0;508;510;0;511;38;12
10;0;0;0;0;507;510;0;512;38;12
11;0;0;0;0;508;510;0;511;38;12
12;0;0;0;0;507;511;0;511;38;12
13;0;0;0;0;508;508;0;510;38;12
14;0;0;0;0;509;510;0;511;38;12
15;0;0;0;0;506;510;0;512;38;12
0;0;0;0;0;506;510;0;513;38;12
1;0;0;0;0;505;511;0;514;38;12
2;0;0;0;0;508;510;0;515;38;12
3;0;0;0;0;506;511;0;531;38;12
4;0;0;0;0;505;510;0;515;38;12
5;0;0;0;0;504;510;0;513;38;12
6;0;0;0;0;505;511;0;512;38;12
7;0;0;0;0;510;512;0;513;38;12
8;0;0;0;0;516;511;0;512;38;12
9;0;0;0;0;511;512;0;510;38;12
10;0;0;0;0;508;511;0;509;38;12
11;0;0;0;0;504;511;0;509;38;12
12;0;0;0;0;508;509;0;506;38;12
13;0;0;0;0;505;509;0;504;38;12
14;0;0;0;0;507;510;0;503;38;12
15;0;0;0;0;508;511;0;504;38;12
0;0;0;0;0;508;512;0;506;38;12
1;0;0;0;0;507;512;0;507;38;12
2;0;0;0;0;505;512;0;507;38;12
3;0;0;0;0;507;513;0;507;38;12
4;0;0;0;0;506;511;0;506;38;12
5;0;0;0;0;507;511;0;507;38;12
6;0;0;0;0;504;512;0;507;38;12
7;0;0;0;0;504;513;0;507;38;12
8;0;0;0;0;506;513;0;508;38;12
9;0;0;0;0;504;514;0;526;38;12
10;0;0;0;0;508;514;0;509;38;12
11;0;0;0;0;508;514;0;510;38;12
12;0;0;0;0;503;512;0;510;38;12
13;0;0;0;0;500;511;0;509;38;12
14;0;0;0;0;510;512;0;511;38;12
15;0;0;0;0;507;512;0;511;38;12
0;0;0;0;0;504;511;0;510;38;12
1;0;0;0;0;503;513;0;511;38;12
2;0;0;0;0;509;513;0;511;38;12
3;0;0;0;0;525;514;0;513;38;12
4;0;0;0;0;520;513;0;516;38;12
5;0;0;0;0;513;513;0;518;38;12
6;0;0;0;0;505;513;0;519;38;12
7;0;0;0;0;506;513;0;523;38;12
8;0;0;0;0;505;511;0;518;38;12
9;0;0;0;0;506;511;0;516;38;12
10;0;0;0;0;508;512;0;515;38;12
11;0;0;0;0;504;511;0;513;38;12
12;0;0;0;0;505;512;0;514;38;12
13;0;0;0;0;507;511;0;514;38;12
14;0;0;0;0;509;510;0;513;38;12
15;0;0;0;0;506;510;0;515;38;12
0;0;0;0;0;497;510;0;513;38;12
1;0;0;0;0;493;508;0;510;38;12
2;0;0;0;0;500;509;0;509;38;12
3;0;0;0;0;505;510;0;509;38;12
4;0;0;0;0;500;508;0;508;38;12
5;0;0;0;0;507;509;0;507;38;12
6;0;0;0;0;518;510;0;508;38;12
7;0;0;0;0;523;511;0;510;38;12
8;0;0;0;0;521;512;0;508;38;12
9;0;0;0;0;524;511;0;508;38;12
10;0;0;0;0;523;512;0;508;38;12
11;0;0;0;0;509;512;0;509;38;12
12;0;0;0;0;504;512;0;514;38;12
13;0;0;0;0;501;513;0;516;38;12
14;0;0;0;0;504;513;0;515;38;12
15;0;0;0;0;504;512;0;516;38;12
0;0;0;0;0;502;511;0;518;38;12
1;0;0;0;0;502;509;0;516;38;12
2;0;0;0;0;506;511;0;517;38;12
3;0;0;0;0;508;510;0;517;38;12
4;0;0;0;0;506;510;0;516;38;12
5;0;0;0;0;505;510;0;514;38;12
6;0;0;0;0;504;511;0;513;38;12
7;0;0;0;0;509;512;0;512;38;12
8;0;0;0;0;505;512;0;511;38;12
9;0;0;0;0;504;512;0;509;38;12
