nSeq;I1;I2;O1;O2;A3
15;0;0;0;0;220
0;0;0;0;0;220
1;0;0;0;0;220
2;0;0;0;0;220
3;0;0;0;0;220
4;0;0;0;0;220
5;0;0;0;0;220
6;0;0;0;0;220
7;0;0;0;0;220
8;0;0;0;0;220
9;0;0;0;0;220
10;0;0;0;0;220
11;0;0;0;0;220
12;0;0;0;0;220
13;0;0;0;0;220
14;0;0;0;0;220
15;0;0;0;0;220
0;0;0;0;0;220
1;0;0;0;0;220
2;0;0;0;0;220
3;0;0;0;0;220
4;0;0;0;0;220
5;0;0;0;0;220
6;0;0;0;0;220
7;0;0;0;0;220
8;0;0;0;0;220
9;0;0;0;0;220
10;0;0;0;0;220
11;0;0;0;0;220
12;0;0;0;0;220
13;0;0;0;0;220
14;0;0;0;0;220
15;0;0;0;0;220
0;0;0;0;0;220
1;0;0;0;0;220
2;0;0;0;0;220
3;0;0;0;0;220
4;0;0;0;0;220
5;0;0;0;0;220
6;0;0;0;0;220
7;0;0;0;0;220
8;0;0;0;0;220
9;0;0;0;0;220
10;0;0;0;0;220
11;0;0;0;0;220
12;0;0;0;0;220
13;0;0;0;0;220
14;0;0;0;0;220
15;0;0;0;0;220
0;0;0;0;0;220
1;0;0;0;0;220
2;0;0;0;0;220
3;0;0;0;0;220
4;0;0;0;0;220
5;0;0;0;0;220
6;0;0;0;0;220
7;0;0;0;0;220
8;0;0;0;0;220
9;0;0;0;0;220
10;0;0;0;0;220
11;0;0;0;0;220
12;0;0;0;0;220
13;0;0;0;0;220
14;0;0;0;0;220
15;0;0;0;0;220
0;0;0;0;0;220
1;0;0;0;0;220
2;0;0;0;0;220
3;0;0;0;0;220
4;0;0;0;0;220
5;0;0;0;0;220
6;0;0;0;0;220
7;0;0;0;0;220
8;0;0;0;0;220
9;0;0;0;0;220
10;0;0;0;0;220
11;0;0;0;0;220
12;0;0;0;0;220
13;0;0;0;0;220
14;0;0;0;0;220
15;0;0;0;0;220
0;0;0;0;0;220
1;0;0;0;0;220
2;0;0;0;0;220
3;0;0;0;0;220
4;0;0;0;0;220
5;0;0;0;0;220
6;0;0;0;0;220
7;0;0;0;0;220
8;0;0;0;0;220
9;0;0;0;0;220
10;0;0;0;0;220
11;0;0;0;0;220
12;0;0;0;0;220
13;0;0;0;0;220
14;0;0;0;0;220
15;0;0;0;0;220
0;0;0;0;0;220
1;0;0;0;0;220
2;0;0;0;0;220
3;0;0;0;0;220
4;0;0;0;0;220
5;0;0;0;0;220
6;0;0;0;0;220
7;0;0;0;0;220
8;0;0;0;0;220
9;0;0;0;0;220
10;0;0;0;0;220
11;0;0;0;0;220
12;0;0;0;0;220
13;0;0;0;0;220
14;0;0;0;0;220
15;0;0;0;0;220
0;0;0;0;0;220
1;0;0;0;0;220
2;0;0;0;0;220
3;0;0;0;0;220
4;0;0;0;0;220
5;0;0;0;0;220
6;0;0;0;0;220
7;0;0;0;0;220
8;0;0;0;0;220
9;0;0;0;0;220
10;0;0;0;0;220
11;0;0;0;0;220
12;0;0;0;0;220
13;0;0;0;0;220
14;0;0;0;0;220
15;0;0;0;0;220
0;0;0;0;0;220
1;0;0;0;0;220
2;0;0;0;0;220
3;0;0;0;0;220
4;0;0;0;0;220
5;0;0;0;0;220
6;0;0;0;0;220
7;0;0;0;0;220
8;0;0;0;0;220
9;0;0;0;0;220
10;0;0;0;0;220
11;0;0;0;0;220
12;0;0;0;0;220
13;0;0;0;0;220
14;0;0;0;0;220
15;0;0;0;0;220
0;0;0;0;0;220
1;0;0;0;0;220
2;0;0;0;0;220
3;0;0;0;0;220
4;0;0;0;0;220
5;0;0;0;0;220
6;0;0;0;0;220
7;0;0;0;0;220
8;0;0;0;0;220
9;0;0;0;0;220
10;0;0;0;0;220
11;0;0;0;0;220
12;0;0;0;0;220
13;0;0;0;0;220
14;0;0;0;0;220
15;0;0;0;0;220
0;0;0;0;0;220
1;0;0;0;0;220
2;0;0;0;0;220
3;0;0;0;0;220
4;0;0;0;0;220
5;0;0;0;0;220
6;0;0;0;0;220
7;0;0;0;0;220
8;0;0;0;0;220
9;0;0;0;0;220
10;0;0;0;0;220
11;0;0;0;0;220
12;0;0;0;0;220
13;0;0;0;0;220
14;0;0;0;0;220
15;0;0;0;0;220
0;0;0;0;0;220
1;0;0;0;0;220
2;0;0;0;0;220
3;0;0;0;0;220
4;0;0;0;0;220
5;0;0;0;0;220
6;0;0;0;0;220
7;0;0;0;0;220
8;0;0;0;0;220
9;0;0;0;0;220
10;0;0;0;0;220
11;0;0;0;0;220
12;0;0;0;0;220
13;0;0;0;0;220
14;0;0;0;0;220
15;0;0;0;0;220
0;0;0;0;0;220
1;0;0;0;0;220
2;0;0;0;0;220
3;0;0;0;0;220
4;0;0;0;0;220
5;0;0;0;0;220
6;0;0;0;0;220
7;0;0;0;0;220
8;0;0;0;0;220
9;0;0;0;0;220
10;0;0;0;0;220
11;0;0;0;0;220
12;0;0;0;0;220
13;0;0;0;0;220
14;0;0;0;0;220
15;0;0;0;0;220
0;0;0;0;0;220
1;0;0;0;0;220
2;0;0;0;0;220
3;0;0;0;0;220
4;0;0;0;0;220
5;0;0;0;0;220
6;0;0;0;0;220
7;0;0;0;0;220
8;0;0;0;0;220
9;0;0;0;0;220
10;0;0;0;0;220
11;0;0;0;0;220
12;0;0;0;0;220
13;0;0;0;0;220
14;0;0;0;0;220
15;0;0;0;0;220
0;0;0;0;0;220
1;0;0;0;0;220
2;0;0;0;0;220
3;0;0;0;0;220
4;0;0;0;0;220
5;0;0;0;0;220
6;0;0;0;0;220
7;0;0;0;0;220
8;0;0;0;0;220
9;0;0;0;0;220
10;0;0;0;0;220
11;0;0;0;0;220
12;0;0;0;0;220
13;0;0;0;0;220
14;0;0;0;0;220
15;0;0;0;0;220
0;0;0;0;0;220
1;0;0;0;0;220
2;0;0;0;0;220
3;0;0;0;0;220
4;0;0;0;0;220
5;0;0;0;0;220
6;0;0;0;0;220
7;0;0;0;0;220
8;0;0;0;0;220
9;0;0;0;0;220
10;0;0;0;0;220
11;0;0;0;0;220
12;0;0;0;0;220
13;0;0;0;0;220
14;0;0;0;0;220
15;0;0;0;0;220
0;0;0;0;0;220
1;0;0;0;0;220
2;0;0;0;0;220
3;0;0;0;0;220
4;0;0;0;0;220
5;0;0;0;0;220
6;0;0;0;0;220
7;0;0;0;0;220
8;0;0;0;0;220
9;0;0;0;0;220
10;0;0;0;0;220
11;0;0;0;0;220
12;0;0;0;0;220
13;0;0;0;0;220
14;0;0;0;0;220
15;0;0;0;0;220
0;0;0;0;0;220
1;0;0;0;0;220
2;0;0;0;0;220
3;0;0;0;0;220
4;0;0;0;0;220
5;0;0;0;0;220
6;0;0;0;0;220
7;0;0;0;0;220
8;0;0;0;0;220
9;0;0;0;0;220
10;0;0;0;0;220
11;0;0;0;0;220
12;0;0;0;0;220
13;0;0;0;0;220
14;0;0;0;0;220
15;0;0;0;0;220
0;0;0;0;0;220
1;0;0;0;0;220
2;0;0;0;0;220
3;0;0;0;0;220
4;0;0;0;0;220
5;0;0;0;0;220
6;0;0;0;0;220
7;0;0;0;0;220
8;0;0;0;0;220
9;0;0;0;0;220
10;0;0;0;0;220
11;0;0;0;0;220
12;0;0;0;0;220
13;0;0;0;0;220
14;0;0;0;0;220
15;0;0;0;0;220
0;0;0;0;0;220
1;0;0;0;0;220
2;0;0;0;0;220
3;0;0;0;0;220
4;0;0;0;0;220
5;0;0;0;0;220
6;0;0;0;0;220
7;0;0;0;0;220
8;0;0;0;0;220
9;0;0;0;0;220
10;0;0;0;0;220
11;0;0;0;0;220
12;0;0;0;0;220
13;0;0;0;0;220
14;0;0;0;0;220
15;0;0;0;0;220
0;0;0;0;0;220
1;0;0;0;0;220
2;0;0;0;0;220
3;0;0;0;0;220
4;0;0;0;0;220
5;0;0;0;0;220
6;0;0;0;0;220
7;0;0;0;0;220
8;0;0;0;0;220
9;0;0;0;0;220
10;0;0;0;0;220
11;0;0;0;0;220
12;0;0;0;0;220
13;0;0;0;0;220
14;0;0;0;0;220
15;0;0;0;0;220
0;0;0;0;0;220
1;0;0;0;0;220
2;0;0;0;0;220
3;0;0;0;0;220
4;0;0;0;0;220
5;0;0;0;0;220
6;0;0;0;0;220
7;0;0;0;0;220
8;0;0;0;0;220
9;0;0;0;0;220
10;0;0;0;0;220
11;0;0;0;0;220
12;0;0;0;0;220
13;0;0;0;0;220
14;0;0;0;0;220
15;0;0;0;0;220
0;0;0;0;0;220
1;0;0;0;0;220
2;0;0;0;0;220
3;0;0;0;0;220
4;0;0;0;0;220
5;0;0;0;0;220
6;0;0;0;0;220
7;0;0;0;0;220
8;0;0;0;0;220
9;0;0;0;0;220
10;0;0;0;0;220
11;0;0;0;0;220
12;0;0;0;0;220
13;0;0;0;0;219
14;0;0;0;0;220
15;0;0;0;0;220
0;0;0;0;0;220
1;0;0;0;0;220
2;0;0;0;0;220
3;0;0;0;0;220
4;0;0;0;0;220
5;0;0;0;0;220
6;0;0;0;0;220
7;0;0;0;0;220
8;0;0;0;0;220
9;0;0;0;0;220
10;0;0;0;0;220
11;0;0;0;0;219
12;0;0;0;0;220
13;0;0;0;0;220
14;0;0;0;0;220
15;0;0;0;0;219
0;0;0;0;0;220
1;0;0;0;0;219
2;0;0;0;0;220
3;0;0;0;0;220
4;0;0;0;0;220
5;0;0;0;0;220
6;0;0;0;0;220
7;0;0;0;0;220
8;0;0;0;0;220
9;0;0;0;0;220
10;0;0;0;0;219
11;0;0;0;0;219
12;0;0;0;0;220
13;0;0;0;0;220
14;0;0;0;0;220
15;0;0;0;0;220
0;0;0;0;0;219
1;0;0;0;0;220
2;0;0;0;0;220
3;0;0;0;0;219
4;0;0;0;0;219
5;0;0;0;0;219
6;0;0;0;0;220
7;0;0;0;0;220
8;0;0;0;0;220
9;0;0;0;0;220
10;0;0;0;0;219
11;0;0;0;0;220
12;0;0;0;0;220
13;0;0;0;0;220
14;0;0;0;0;220
15;0;0;0;0;219
0;0;0;0;0;220
1;0;0;0;0;220
2;0;0;0;0;220
3;0;0;0;0;220
4;0;0;0;0;219
5;0;0;0;0;219
6;0;0;0;0;219
7;0;0;0;0;219
8;0;0;0;0;219
9;0;0;0;0;219
10;0;0;0;0;219
11;0;0;0;0;220
12;0;0;0;0;219
13;0;0;0;0;219
14;0;0;0;0;220
15;0;0;0;0;219
0;0;0;0;0;220
1;0;0;0;0;220
2;0;0;0;0;219
3;0;0;0;0;219
4;0;0;0;0;220
5;0;0;0;0;219
6;0;0;0;0;219
7;0;0;0;0;219
8;0;0;0;0;219
9;0;0;0;0;220
10;0;0;0;0;219
11;0;0;0;0;219
12;0;0;0;0;219
13;0;0;0;0;219
14;0;0;0;0;220
15;0;0;0;0;219
0;0;0;0;0;220
1;0;0;0;0;219
2;0;0;0;0;219
3;0;0;0;0;219
4;0;0;0;0;219
5;0;0;0;0;220
6;0;0;0;0;219
7;0;0;0;0;219
8;0;0;0;0;220
9;0;0;0;0;219
10;0;0;0;0;219
11;0;0;0;0;219
12;0;0;0;0;219
13;0;0;0;0;219
14;0;0;0;0;219
15;0;0;0;0;219
0;0;0;0;0;219
1;0;0;0;0;219
2;0;0;0;0;219
3;0;0;0;0;219
4;0;0;0;0;220
5;0;0;0;0;219
6;0;0;0;0;219
7;0;0;0;0;219
8;0;0;0;0;220
9;0;0;0;0;219
10;0;0;0;0;219
11;0;0;0;0;219
12;0;0;0;0;220
13;0;0;0;0;219
14;0;0;0;0;219
15;0;0;0;0;219
0;0;0;0;0;219
1;0;0;0;0;219
2;0;0;0;0;219
3;0;0;0;0;219
4;0;0;0;0;219
5;0;0;0;0;219
6;0;0;0;0;219
7;0;0;0;0;219
8;0;0;0;0;219
9;0;0;0;0;219
10;0;0;0;0;219
11;0;0;0;0;219
12;0;0;0;0;219
13;0;0;0;0;219
14;0;0;0;0;219
15;0;0;0;0;219
0;0;0;0;0;219
1;0;0;0;0;219
2;0;0;0;0;219
3;0;0;0;0;219
4;0;0;0;0;219
5;0;0;0;0;219
6;0;0;0;0;219
7;0;0;0;0;219
8;0;0;0;0;219
9;0;0;0;0;219
10;0;0;0;0;219
11;0;0;0;0;219
12;0;0;0;0;219
13;0;0;0;0;219
14;0;0;0;0;219
15;0;0;0;0;219
0;0;0;0;0;219
1;0;0;0;0;219
2;0;0;0;0;219
3;0;0;0;0;219
4;0;0;0;0;219
5;0;0;0;0;219
6;0;0;0;0;219
7;0;0;0;0;219
8;0;0;0;0;219
9;0;0;0;0;219
10;0;0;0;0;219
11;0;0;0;0;219
12;0;0;0;0;219
13;0;0;0;0;219
14;0;0;0;0;219
15;0;0;0;0;219
0;0;0;0;0;219
1;0;0;0;0;219
2;0;0;0;0;219
3;0;0;0;0;219
4;0;0;0;0;219
5;0;0;0;0;219
6;0;0;0;0;219
7;0;0;0;0;219
8;0;0;0;0;219
9;0;0;0;0;219
10;0;0;0;0;219
11;0;0;0;0;219
12;0;0;0;0;219
13;0;0;0;0;219
14;0;0;0;0;219
15;0;0;0;0;219
0;0;0;0;0;219
1;0;0;0;0;219
2;0;0;0;0;219
3;0;0;0;0;219
4;0;0;0;0;219
5;0;0;0;0;219
6;0;0;0;0;219
7;0;0;0;0;219
8;0;0;0;0;219
9;0;0;0;0;219
10;0;0;0;0;219
11;0;0;0;0;219
12;0;0;0;0;219
13;0;0;0;0;219
14;0;0;0;0;219
15;0;0;0;0;219
0;0;0;0;0;219
1;0;0;0;0;219
2;0;0;0;0;219
3;0;0;0;0;219
4;0;0;0;0;219
5;0;0;0;0;219
6;0;0;0;0;219
7;0;0;0;0;219
8;0;0;0;0;219
9;0;0;0;0;219
10;0;0;0;0;219
11;0;0;0;0;219
12;0;0;0;0;219
13;0;0;0;0;219
14;0;0;0;0;219
15;0;0;0;0;219
0;0;0;0;0;219
1;0;0;0;0;219
2;0;0;0;0;219
3;0;0;0;0;219
4;0;0;0;0;219
5;0;0;0;0;219
6;0;0;0;0;219
7;0;0;0;0;219
8;0;0;0;0;219
9;0;0;0;0;219
10;0;0;0;0;219
11;0;0;0;0;219
12;0;0;0;0;219
13;0;0;0;0;219
14;0;0;0;0;219
15;0;0;0;0;219
0;0;0;0;0;219
1;0;0;0;0;219
2;0;0;0;0;219
3;0;0;0;0;219
4;0;0;0;0;219
5;0;0;0;0;219
6;0;0;0;0;219
7;0;0;0;0;219
8;0;0;0;0;219
9;0;0;0;0;219
10;0;0;0;0;219
11;0;0;0;0;219
12;0;0;0;0;219
13;0;0;0;0;219
14;0;0;0;0;219
15;0;0;0;0;219
0;0;0;0;0;219
1;0;0;0;0;219
2;0;0;0;0;219
3;0;0;0;0;219
4;0;0;0;0;219
5;0;0;0;0;219
6;0;0;0;0;219
7;0;0;0;0;219
8;0;0;0;0;219
9;0;0;0;0;219
10;0;0;0;0;219
11;0;0;0;0;219
12;0;0;0;0;219
13;0;0;0;0;219
14;0;0;0;0;219
15;0;0;0;0;219
0;0;0;0;0;219
1;0;0;0;0;219
2;0;0;0;0;219
3;0;0;0;0;219
4;0;0;0;0;219
5;0;0;0;0;219
6;0;0;0;0;219
7;0;0;0;0;219
8;0;0;0;0;219
9;0;0;0;0;219
10;0;0;0;0;219
11;0;0;0;0;219
12;0;0;0;0;219
13;0;0;0;0;219
14;0;0;0;0;219
15;0;0;0;0;219
0;0;0;0;0;219
1;0;0;0;0;219
2;0;0;0;0;219
3;0;0;0;0;219
4;0;0;0;0;219
5;0;0;0;0;219
6;0;0;0;0;219
7;0;0;0;0;219
8;0;0;0;0;219
9;0;0;0;0;219
10;0;0;0;0;219
11;0;0;0;0;219
12;0;0;0;0;219
13;0;0;0;0;219
14;0;0;0;0;219
15;0;0;0;0;219
0;0;0;0;0;219
1;0;0;0;0;219
2;0;0;0;0;219
3;0;0;0;0;219
4;0;0;0;0;219
5;0;0;0;0;219
6;0;0;0;0;219
7;0;0;0;0;219
8;0;0;0;0;219
9;0;0;0;0;219
10;0;0;0;0;219
11;0;0;0;0;219
12;0;0;0;0;219
13;0;0;0;0;219
14;0;0;0;0;219
15;0;0;0;0;219
0;0;0;0;0;219
1;0;0;0;0;219
2;0;0;0;0;219
3;0;0;0;0;219
4;0;0;0;0;219
5;0;0;0;0;219
6;0;0;0;0;219
7;0;0;0;0;219
8;0;0;0;0;219
9;0;0;0;0;219
10;0;0;0;0;219
11;0;0;0;0;219
12;0;0;0;0;219
13;0;0;0;0;219
14;0;0;0;0;219
15;0;0;0;0;219
0;0;0;0;0;219
1;0;0;0;0;219
2;0;0;0;0;219
3;0;0;0;0;219
4;0;0;0;0;219
5;0;0;0;0;219
6;0;0;0;0;219
7;0;0;0;0;219
8;0;0;0;0;219
9;0;0;0;0;219
10;0;0;0;0;219
11;0;0;0;0;219
12;0;0;0;0;219
13;0;0;0;0;219
14;0;0;0;0;219
15;0;0;0;0;219
0;0;0;0;0;219
1;0;0;0;0;219
2;0;0;0;0;219
3;0;0;0;0;219
4;0;0;0;0;219
5;0;0;0;0;219
6;0;0;0;0;219
7;0;0;0;0;219
8;0;0;0;0;219
9;0;0;0;0;219
10;0;0;0;0;219
11;0;0;0;0;219
12;0;0;0;0;219
13;0;0;0;0;219
14;0;0;0;0;219
15;0;0;0;0;219
0;0;0;0;0;219
1;0;0;0;0;219
2;0;0;0;0;219
3;0;0;0;0;219
4;0;0;0;0;219
5;0;0;0;0;219
6;0;0;0;0;219
7;0;0;0;0;219
8;0;0;0;0;219
9;0;0;0;0;219
10;0;0;0;0;219
11;0;0;0;0;219
12;0;0;0;0;219
13;0;0;0;0;219
14;0;0;0;0;219
15;0;0;0;0;219
0;0;0;0;0;219
1;0;0;0;0;219
2;0;0;0;0;219
3;0;0;0;0;219
4;0;0;0;0;219
5;0;0;0;0;219
6;0;0;0;0;219
7;0;0;0;0;219
8;0;0;0;0;219
9;0;0;0;0;219
10;0;0;0;0;219
11;0;0;0;0;219
12;0;0;0;0;219
13;0;0;0;0;219
14;0;0;0;0;219
15;0;0;0;0;219
0;0;0;0;0;219
1;0;0;0;0;219
2;0;0;0;0;219
3;0;0;0;0;219
4;0;0;0;0;219
5;0;0;0;0;219
6;0;0;0;0;219
7;0;0;0;0;219
8;0;0;0;0;219
9;0;0;0;0;219
10;0;0;0;0;219
11;0;0;0;0;219
12;0;0;0;0;219
13;0;0;0;0;219
14;0;0;0;0;219
15;0;0;0;0;219
0;0;0;0;0;219
1;0;0;0;0;219
2;0;0;0;0;219
3;0;0;0;0;219
4;0;0;0;0;219
5;0;0;0;0;219
6;0;0;0;0;219
7;0;0;0;0;219
8;0;0;0;0;219
9;0;0;0;0;219
10;0;0;0;0;219
11;0;0;0;0;219
12;0;0;0;0;219
13;0;0;0;0;219
14;0;0;0;0;219
15;0;0;0;0;219
0;0;0;0;0;219
1;0;0;0;0;219
2;0;0;0;0;219
3;0;0;0;0;219
4;0;0;0;0;219
5;0;0;0;0;219
6;0;0;0;0;219
7;0;0;0;0;219
8;0;0;0;0;219
9;0;0;0;0;219
10;0;0;0;0;219
11;0;0;0;0;219
12;0;0;0;0;219
13;0;0;0;0;219
14;0;0;0;0;219
15;0;0;0;0;219
0;0;0;0;0;219
1;0;0;0;0;219
2;0;0;0;0;219
3;0;0;0;0;219
4;0;0;0;0;219
5;0;0;0;0;219
6;0;0;0;0;219
7;0;0;0;0;219
8;0;0;0;0;219
9;0;0;0;0;219
10;0;0;0;0;219
11;0;0;0;0;219
12;0;0;0;0;219
13;0;0;0;0;219
14;0;0;0;0;219
15;0;0;0;0;219
0;0;0;0;0;219
1;0;0;0;0;219
2;0;0;0;0;219
3;0;0;0;0;219
4;0;0;0;0;219
5;0;0;0;0;219
6;0;0;0;0;219
7;0;0;0;0;219
8;0;0;0;0;219
9;0;0;0;0;219
10;0;0;0;0;219
11;0;0;0;0;219
12;0;0;0;0;219
13;0;0;0;0;219
14;0;0;0;0;219
15;0;0;0;0;219
0;0;0;0;0;219
1;0;0;0;0;219
2;0;0;0;0;219
3;0;0;0;0;219
4;0;0;0;0;219
5;0;0;0;0;219
6;0;0;0;0;219
7;0;0;0;0;219
8;0;0;0;0;219
9;0;0;0;0;219
10;0;0;0;0;219
11;0;0;0;0;219
12;0;0;0;0;219
13;0;0;0;0;219
14;0;0;0;0;219
15;0;0;0;0;219
0;0;0;0;0;219
1;0;0;0;0;219
2;0;0;0;0;219
3;0;0;0;0;219
4;0;0;0;0;219
5;0;0;0;0;219
6;0;0;0;0;219
7;0;0;0;0;219
8;0;0;0;0;219
9;0;0;0;0;219
10;0;0;0;0;219
11;0;0;0;0;219
12;0;0;0;0;219
13;0;0;0;0;219
14;0;0;0;0;219
15;0;0;0;0;219
0;0;0;0;0;219
1;0;0;0;0;219
2;0;0;0;0;219
3;0;0;0;0;219
4;0;0;0;0;219
5;0;0;0;0;219
6;0;0;0;0;219
7;0;0;0;0;219
8;0;0;0;0;219
9;0;0;0;0;219
10;0;0;0;0;219
11;0;0;0;0;219
12;0;0;0;0;219
13;0;0;0;0;219
14;0;0;0;0;219
15;0;0;0;0;219
0;0;0;0;0;219
1;0;0;0;0;219
2;0;0;0;0;219
3;0;0;0;0;219
4;0;0;0;0;219
5;0;0;0;0;219
6;0;0;0;0;219
7;0;0;0;0;219
8;0;0;0;0;219
9;0;0;0;0;219
10;0;0;0;0;219
11;0;0;0;0;219
12;0;0;0;0;219
13;0;0;0;0;219
14;0;0;0;0;219
15;0;0;0;0;219
0;0;0;0;0;219
1;0;0;0;0;219
2;0;0;0;0;219
3;0;0;0;0;218
4;0;0;0;0;219
5;0;0;0;0;219
6;0;0;0;0;219
7;0;0;0;0;219
8;0;0;0;0;219
9;0;0;0;0;219
10;0;0;0;0;219
11;0;0;0;0;219
12;0;0;0;0;219
13;0;0;0;0;219
14;0;0;0;0;219
15;0;0;0;0;219
0;0;0;0;0;219
1;0;0;0;0;219
2;0;0;0;0;219
3;0;0;0;0;219
4;0;0;0;0;219
5;0;0;0;0;219
6;0;0;0;0;219
7;0;0;0;0;219
8;0;0;0;0;219
9;0;0;0;0;219
10;0;0;0;0;219
11;0;0;0;0;219
12;0;0;0;0;219
13;0;0;0;0;219
14;0;0;0;0;219
15;0;0;0;0;219
0;0;0;0;0;219
1;0;0;0;0;219
2;0;0;0;0;219
3;0;0;0;0;219
4;0;0;0;0;219
5;0;0;0;0;219
6;0;0;0;0;219
7;0;0;0;0;219
8;0;0;0;0;219
9;0;0;0;0;219
10;0;0;0;0;219
11;0;0;0;0;218
12;0;0;0;0;219
13;0;0;0;0;219
14;0;0;0;0;219
15;0;0;0;0;219
0;0;0;0;0;219
1;0;0;0;0;218
2;0;0;0;0;219
3;0;0;0;0;219
4;0;0;0;0;219
5;0;0;0;0;219
6;0;0;0;0;219
7;0;0;0;0;219
8;0;0;0;0;219
9;0;0;0;0;219
10;0;0;0;0;219
11;0;0;0;0;219
12;0;0;0;0;219
13;0;0;0;0;219
14;0;0;0;0;219
15;0;0;0;0;219
0;0;0;0;0;219
1;0;0;0;0;219
2;0;0;0;0;219
3;0;0;0;0;218
4;0;0;0;0;219
5;0;0;0;0;219
6;0;0;0;0;219
7;0;0;0;0;219
8;0;0;0;0;219
9;0;0;0;0;219
10;0;0;0;0;219
11;0;0;0;0;219
12;0;0;0;0;219
13;0;0;0;0;219
14;0;0;0;0;219
15;0;0;0;0;219
0;0;0;0;0;219
1;0;0;0;0;218
2;0;0;0;0;219
3;0;0;0;0;218
4;0;0;0;0;219
5;0;0;0;0;219
6;0;0;0;0;219
7;0;0;0;0;218
8;0;0;0;0;219
9;0;0;0;0;218
10;0;0;0;0;219
11;0;0;0;0;218
12;0;0;0;0;219
13;0;0;0;0;218
14;0;0;0;0;219
15;0;0;0;0;219
0;0;0;0;0;219
1;0;0;0;0;219
2;0;0;0;0;218
3;0;0;0;0;218
4;0;0;0;0;219
5;0;0;0;0;218
6;0;0;0;0;219
7;0;0;0;0;218
8;0;0;0;0;218
9;0;0;0;0;218
10;0;0;0;0;219
11;0;0;0;0;218
12;0;0;0;0;218
13;0;0;0;0;218
14;0;0;0;0;219
15;0;0;0;0;218
0;0;0;0;0;219
1;0;0;0;0;219
2;0;0;0;0;219
3;0;0;0;0;219
4;0;0;0;0;219
5;0;0;0;0;218
6;0;0;0;0;219
7;0;0;0;0;218
8;0;0;0;0;219
9;0;0;0;0;218
10;0;0;0;0;219
11;0;0;0;0;218
12;0;0;0;0;218
13;0;0;0;0;219
14;0;0;0;0;219
15;0;0;0;0;218
0;0;0;0;0;218
1;0;0;0;0;218
2;0;0;0;0;218
3;0;0;0;0;218
4;0;0;0;0;219
5;0;0;0;0;218
6;0;0;0;0;218
7;0;0;0;0;219
8;0;0;0;0;219
9;0;0;0;0;218
10;0;0;0;0;218
11;0;0;0;0;218
12;0;0;0;0;219
13;0;0;0;0;218
14;0;0;0;0;219
15;0;0;0;0;218
0;0;0;0;0;218
1;0;0;0;0;218
2;0;0;0;0;218
3;0;0;0;0;218
4;0;0;0;0;218
5;0;0;0;0;218
6;0;0;0;0;218
7;0;0;0;0;218
8;0;0;0;0;219
9;0;0;0;0;218
10;0;0;0;0;218
11;0;0;0;0;218
12;0;0;0;0;218
13;0;0;0;0;218
14;0;0;0;0;218
15;0;0;0;0;218
0;0;0;0;0;218
1;0;0;0;0;218
2;0;0;0;0;218
3;0;0;0;0;218
4;0;0;0;0;218
5;0;0;0;0;218
6;0;0;0;0;218
7;0;0;0;0;218
8;0;0;0;0;218
9;0;0;0;0;218
10;0;0;0;0;218
11;0;0;0;0;218
12;0;0;0;0;218
13;0;0;0;0;218
14;0;0;0;0;218
15;0;0;0;0;218
0;0;0;0;0;218
1;0;0;0;0;218
2;0;0;0;0;218
3;0;0;0;0;218
4;0;0;0;0;218
5;0;0;0;0;218
6;0;0;0;0;218
7;0;0;0;0;218
8;0;0;0;0;218
9;0;0;0;0;218
10;0;0;0;0;218
11;0;0;0;0;218
12;0;0;0;0;218
13;0;0;0;0;218
14;0;0;0;0;218
15;0;0;0;0;218
0;0;0;0;0;219
1;0;0;0;0;218
2;0;0;0;0;218
3;0;0;0;0;218
4;0;0;0;0;218
5;0;0;0;0;218
6;0;0;0;0;218
7;0;0;0;0;218
8;0;0;0;0;218
9;0;0;0;0;218
10;0;0;0;0;218
11;0;0;0;0;218
12;0;0;0;0;218
13;0;0;0;0;218
14;0;0;0;0;218
15;0;0;0;0;218
0;0;0;0;0;218
1;0;0;0;0;218
2;0;0;0;0;218
3;0;0;0;0;218
4;0;0;0;0;218
5;0;0;0;0;218
6;0;0;0;0;218
7;0;0;0;0;218
8;0;0;0;0;218
9;0;0;0;0;218
10;0;0;0;0;218
11;0;0;0;0;218
12;0;0;0;0;218
13;0;0;0;0;218
14;0;0;0;0;218
15;0;0;0;0;218
0;0;0;0;0;218
1;0;0;0;0;218
2;0;0;0;0;218
3;0;0;0;0;218
4;0;0;0;0;218
5;0;0;0;0;218
6;0;0;0;0;218
7;0;0;0;0;218
8;0;0;0;0;218
9;0;0;0;0;218
10;0;0;0;0;218
11;0;0;0;0;218
12;0;0;0;0;218
13;0;0;0;0;218
14;0;0;0;0;218
15;0;0;0;0;218
0;0;0;0;0;218
1;0;0;0;0;218
2;0;0;0;0;218
3;0;0;0;0;218
4;0;0;0;0;218
5;0;0;0;0;218
6;0;0;0;0;218
7;0;0;0;0;218
8;0;0;0;0;218
9;0;0;0;0;218
10;0;0;0;0;218
11;0;0;0;0;218
12;0;0;0;0;218
13;0;0;0;0;218
14;0;0;0;0;218
15;0;0;0;0;218
0;0;0;0;0;218
1;0;0;0;0;218
2;0;0;0;0;218
3;0;0;0;0;218
4;0;0;0;0;218
5;0;0;0;0;218
6;0;0;0;0;218
7;0;0;0;0;218
8;0;0;0;0;218
9;0;0;0;0;218
10;0;0;0;0;218
11;0;0;0;0;218
